Date,Site ID,Call Setup Success Rate ,CSFB Preparation Success Rate,DL Traffic In GB,UL Traffic In GB,Total Traffic in GB,Average User Throughput in DownLink In Mbps,Average User Throughput in UpLink In Mbps,Average DL PDCP Throughput In Mbps,Average UL PDCP Throughput In Mbps,PS Drop Call Rate,Average Number of Users in a Cell,Intra Frequency HOSR,Inter Frequency HOSR,Cell_Availability,DL BLER ,DL PRB Utilization ,UL PRB Utilization 
03-11-2025,Site_2,99.82974703,99.90059642,677.0443984,82.11687362,759.161272,18.72604508,0.32564917,13.74509495,1.402361794,0.118605045,14.19885417,99.02712502,99.70238687,100,6.932181337,27.89006547,15.4572941
03-11-2025,Site_5,99.79363873,99.80999708,425.4345632,78.44323003,503.8777932,18.93422847,1.167607176,14.26700939,2.623531404,0.077838819,25.75069444,98.3701217,99.45074627,100,6.052193372,28.90518266,15.01607526
04-11-2025,Site_5,99.80538927,99.87560255,424.0381156,75.12625527,499.1643709,18.07730545,1.165237614,14.5314158,2.581463986,0.066702033,24.82013889,98.59276278,99.34255271,100,6.15280022,28.56914267,13.24546895
04-11-2025,Site_4,99.70479989,100,451.5075917,69.21834767,520.7259394,12.2117176,0.5655728,12.72255233,1.692403038,0.14864107,13.45539159,99.05443198,99.13736056,100,6.85326425,29.49582054,14.49720886
04-11-2025,Site_3,99.81454119,99.93157715,548.0952181,75.56171227,623.6569303,17.84553712,0.564821531,13.36215218,1.589930159,0.129707939,11.95535108,99.53852911,99.42999426,100,7.806542301,27.30635146,15.41813449
04-11-2025,Site_2,99.81892818,99.90558403,662.9047074,81.16287398,744.0675814,18.3819453,0.337947051,13.43938631,1.349972488,0.097012242,14.46507716,98.79855974,99.66379874,100,7.072377613,26.94855056,15.29133607
04-11-2025,Site_1,99.68396724,99.95976665,778.8645431,93.31656957,872.1811126,15.10578402,0.303799624,12.87248496,1.240168744,0.210495094,16.45194444,99.09590204,99.3820318,100,8.368818972,30.31554276,17.69528496
05-11-2025,Site_2,99.856086,99.98677424,748.5101861,88.99570143,837.5058875,19.24173043,0.525963935,14.45400518,1.486073202,0.097970107,14.8983179,98.83937938,99.78317947,100,7.137261441,28.47062559,15.13185401
05-11-2025,Site_4,99.79649697,99.96624662,460.5685906,70.56507146,531.1336621,12.05846499,0.608700029,12.55947303,1.661706234,0.136973603,14.17483121,99.08012214,99.54519555,100,6.923022195,30.44825142,15.37967884
05-11-2025,Site_5,99.79432849,99.73804846,399.60238,69.19263256,468.7950126,21.19130655,1.411494431,14.24030292,2.56272253,0.069019067,22.85013503,98.71701595,99.60109861,100,6.045668145,26.27825591,12.22501138
05-11-2025,Site_3,99.81197302,99.9187275,551.4603525,75.6714977,627.1318502,17.63433719,0.58962969,13.13216825,1.573293426,0.133386954,12.12058256,99.49900778,99.59841332,100,7.951838309,27.39468194,14.74276039
05-11-2025,Site_1,99.78922054,99.91279915,760.4559016,100.0390855,860.4949871,15.27762977,0.429254135,12.60962044,1.365027501,0.139633426,16.14758873,99.0368721,99.67875717,100,8.424058226,30.08357456,17.70268569
06-11-2025,Site_5,99.76004552,99.92332464,405.1059058,69.0208298,474.1267356,18.66561193,1.203717984,14.57623828,2.517870569,0.075354812,22.98897569,98.55213177,99.51306179,100,6.175681867,27.64345137,13.1575222
06-11-2025,Site_2,99.83805801,99.95481247,775.3017805,95.78989494,871.0916754,18.06585586,0.384610174,13.86317427,1.417955088,0.117310242,15.85917438,98.89158889,99.62709153,100,7.071599043,28.52911198,16.29456022
06-11-2025,Site_1,99.72583018,99.97487437,772.6425506,100.853352,873.4959025,12.99472782,0.370555964,13.01387819,1.392661854,0.173910891,16.99364969,98.78557484,99.7341918,100,8.581668513,32.49379741,18.68063146
